"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.12.2025","2.056,64","2.050,11","2.058,92","2.044,79","","0,37%"
"19.12.2025","2.048,99","2.060,51","2.069,64","2.048,44","","-0,30%"
"18.12.2025","2.055,10","2.053,22","2.060,53","2.051,04","","0,09%"
"17.12.2025","2.053,25","2.072,02","2.077,97","2.047,34","","-0,91%"
"16.12.2025","2.072,02","2.092,47","2.092,59","2.066,18","","-0,94%"
"15.12.2025","2.091,60","2.108,01","2.109,65","2.090,92","","-0,81%"
"12.12.2025","2.108,70","2.117,02","2.118,46","2.096,96","","-0,26%"
"11.12.2025","2.114,21","2.118,86","2.123,24","2.104,91","","-0,26%"
"10.12.2025","2.119,71","2.120,54","2.122,26","2.105,82","","-0,18%"
"09.12.2025","2.123,58","2.103,44","2.123,58","2.103,44","","0,51%"
"05.12.2025","2.112,70","2.116,45","2.120,00","2.097,66","","-0,15%"
"04.12.2025","2.115,96","2.105,66","2.115,96","2.103,60","","0,49%"
"03.12.2025","2.105,66","2.116,17","2.116,89","2.099,07","","-0,48%"
"02.12.2025","2.115,75","2.082,85","2.115,75","2.082,73","","1,65%"
"01.12.2025","2.081,43","2.073,19","2.081,43","2.052,47","","0,39%"
"28.11.2025","2.073,28","2.050,80","2.073,28","2.050,80","","1,05%"
"27.11.2025","2.051,65","2.041,14","2.051,65","2.041,14","","0,52%"
"26.11.2025","2.041,08","2.038,54","2.050,27","2.038,54","","0,34%"
"25.11.2025","2.034,26","2.004,29","2.034,26","2.002,87","","1,73%"
"24.11.2025","1.999,67","2.038,81","2.042,86","1.999,67","","-1,69%"
"21.11.2025","2.033,99","2.029,64","2.041,71","2.022,07","","0,24%"
"20.11.2025","2.029,18","2.064,47","2.074,01","2.029,18","","-1,57%"
"19.11.2025","2.061,50","2.068,21","2.083,23","2.056,79","","-0,48%"
"18.11.2025","2.071,34","2.069,15","2.075,64","2.058,21","","0,01%"
"14.11.2025","2.071,23","2.054,95","2.087,11","2.049,47","","0,96%"
"13.11.2025","2.051,57","2.076,42","2.086,48","2.051,09","","-1,40%"
